GRIDODE,P00,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
  171142,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.079E-06,  34.716E-06,  32.662E-06,  33.379E-06,  33.782E-06,  34.181E-06,  34.722E-06,  34.199E-06,  34.526E-06,  34.323E-06,  34.413E-06,  34.352E-06,  34.922E-06,  34.261E-06,  34.352E-06,  34.332E-06,  34.352E-06,  34.352E-06,  34.352E-06
  171143,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.352E-06,  34.079E-06,  34.716E-06,  32.662E-06,  33.379E-06,  33.782E-06,  34.181E-06,  34.722E-06,  34.199E-06,  34.526E-06,  34.323E-06,  34.413E-06,  34.352E-06,  34.922E-06,  34.261E-06,  34.352E-06,  34.332E-06,  34.352E-06,  34.352E-06,  34.352E-06
  172187,  62.517E-06,  62.517E-06,  62.480E-06,  62.517E-06,  62.517E-06,  61.092E-06,  58.195E-06,  57.326E-06,  58.735E-06,  60.826E-06,  61.015E-06,  62.539E-06,  62.777E-06,  61.936E-06,  61.668E-06,  60.777E-06,  62.066E-06,  62.265E-06,  63.258E-06,  62.185E-06,  62.301E-06,  62.575E-06,  62.517E-06,  62.517E-06
  172188,  62.517E-06,  62.517E-06,  62.480E-06,  62.517E-06,  62.517E-06,  61.092E-06,  58.195E-06,  57.326E-06,  58.735E-06,  60.826E-06,  61.015E-06,  62.539E-06,  62.777E-06,  61.936E-06,  61.668E-06,  60.777E-06,  62.066E-06,  62.265E-06,  63.258E-06,  62.185E-06,  62.301E-06,  62.575E-06,  62.517E-06,  62.517E-06
  172189, 171.378E-06, 171.301E-06, 171.198E-06, 171.146E-06, 171.378E-06, 170.423E-06, 168.479E-06, 163.582E-06, 162.979E-06, 166.049E-06, 167.652E-06, 168.334E-06, 169.414E-06, 170.006E-06, 167.475E-06, 170.500E-06, 170.760E-06, 169.574E-06, 169.786E-06, 171.210E-06, 171.327E-06, 171.358E-06, 171.129E-06, 171.378E-06
  172190, 171.378E-06, 171.301E-06, 171.198E-06, 171.146E-06, 171.378E-06, 170.423E-06, 168.479E-06, 163.582E-06, 162.979E-06, 166.049E-06, 167.652E-06, 168.334E-06, 169.414E-06, 170.006E-06, 167.475E-06, 170.500E-06, 170.760E-06, 169.574E-06, 169.786E-06, 171.210E-06, 171.327E-06, 171.358E-06, 171.129E-06, 171.378E-06
  172191,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  16.720E-06,  17.205E-06,  16.635E-06,  16.806E-06,  16.397E-06,  17.366E-06,  17.008E-06,  17.926E-06,  17.958E-06,  17.212E-06,  17.356E-06,  17.877E-06,  17.193E-06,  17.246E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06
  172192,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  16.720E-06,  17.205E-06,  16.635E-06,  16.806E-06,  16.397E-06,  17.366E-06,  17.008E-06,  17.926E-06,  17.958E-06,  17.212E-06,  17.356E-06,  17.877E-06,  17.193E-06,  17.246E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06,  17.193E-06
  172193,  79.344E-06,  79.344E-06,  79.344E-06,  79.218E-06,  79.159E-06,  78.289E-06,  76.669E-06,  76.746E-06,  76.604E-06,  77.327E-06,  77.440E-06,  78.576E-06,  77.817E-06,  78.070E-06,  78.051E-06,  79.209E-06,  78.966E-06,  78.973E-06,  78.855E-06,  79.344E-06,  78.767E-06,  79.415E-06,  79.232E-06,  79.344E-06
  172194,  79.344E-06,  79.344E-06,  79.344E-06,  79.218E-06,  79.159E-06,  78.289E-06,  76.669E-06,  76.746E-06,  76.604E-06,  77.327E-06,  77.440E-06,  78.576E-06,  77.817E-06,  78.070E-06,  78.051E-06,  79.209E-06,  78.966E-06,  78.973E-06,  78.855E-06,  79.344E-06,  78.767E-06,  79.415E-06,  79.232E-06,  79.344E-06
